Rank,Last Round Single Time,Last Round Average Time,Rounds Competed,Best Single Time,Best Average Time,Number of Competitors,Number of Penalties
8,5.13,6.6,4,4.11,5.42,272,0
10,6.48,6.98,3,4.11,5.42,155,0
4,4.94,6.29,3,4.11,5.42,193,0
8,5.89,6.85,3,4.11,5.42,187,0
2,4.88,5.71,3,4.11,5.42,191,0
4,5.52,6.42,3,4.11,5.42,185,0
4,5.45,6.21,3,4.11,5.42,135,0
4,5.12,6.39,3,4.11,5.42,166,0
7,5.62,6.54,3,4.11,5.42,192,0
4,5.29,6.56,3,4.11,5.42,139,0
5,6.09,6.85,4,4.11,5.42,180,1
5,5.46,6.21,3,4.11,5.42,217,0
3,6.05,6.28,3,4.11,5.42,247,0
1,4.08,4.57,3,3.38,4.25,192,0
1,4.09,4.85,4,3.38,4.25,165,0
1,4.33,4.73,3,3.38,4.25,144,0
1,4.54,4.88,4,3.38,4.25,272,0
1,4.33,5.08,4,3.38,4.25,324,0
1,4.33,5.04,4,3.38,4.25,171,0
1,4.2,4.91,3,3.38,4.25,84,0
1,4.19,4.79,3,3.38,4.25,54,0
1,4.08,4.97,4,3.38,4.25,195,0
1,4,4.91,3,3.38,4.25,135,0
1,3.66,4.91,3,3.38,4.25,185,0
1,4.31,5.05,3,3.38,4.25,281,1
1,4.65,5.37,3,3.38,4.25,187,1
2,5.12,5.94,3,3.38,4.25,193,0
1,4,5.27,3,3.38,4.25,155,0
1,4.49,5.25,3,3.38,4.25,56,1
1,3.47,4.6,4,3.38,4.25,203,1
1,4.07,5.06,3,3.38,4.25,144,0
1,5.31,5.75,3,3.13,4.86,151,0
1,4.83,5.45,3,3.13,4.86,128,0
1,5.21,6.45,4,3.13,4.86,217,0
2,5.09,5.69,4,3.13,4.86,847,0
1,5.37,5.9,3,3.13,4.86,110,0
1,5.4,5.8,3,3.13,4.86,49,0
1,5.58,6.09,3,3.13,4.86,61,0
2,5.21,6.88,3,3.13,4.86,78,0
1,5.45,6.14,3,3.13,4.86,105,0
1,5.7,6.8,3,3.13,4.86,126,0
1,4.65,5.51,3,3.13,4.86,105,0
1,4.44,5.79,3,3.13,4.86,102,0
1,5.13,5.66,3,3.13,4.86,244,0
1,5.04,6.11,3,3.13,4.86,78,0
6,6.63,7.94,4,3.13,4.86,184,0
1,4.91,5.42,3,3.13,4.86,143,0
1,4.88,5.43,3,3.13,4.86,112,0
1,4.98,5.84,3,3.13,4.86,183,0
1,5.26,6.57,3,3.13,4.86,99,0
1,4.81,5.28,3,3.13,4.86,168,0
1,5.41,6.1,3,3.44,5.03,69,0
1,4.83,6.61,3,3.44,5.03,40,0
6,4.51,6.36,4,3.44,5.03,847,0
7,5.47,6.5,3,3.44,5.03,27,0
1,4.42,5.98,3,3.44,5.03,48,0
2,5.6,6.03,4,3.44,5.03,359,0
1,4.2,6.11,3,3.44,5.03,66,0
1,5.15,5.85,3,3.44,5.03,112,0
5,6.17,7.6,3,3.44,5.03,101,0
1,5.33,5.68,3,3.44,5.03,53,0
1,5.46,6.42,3,3.44,5.03,153,0
1,4.62,6.22,3,3.44,5.03,57,0
1,5.67,6.58,2,3.44,5.03,45,0
1,4.76,6.37,3,3.44,5.03,80,0
1,4.93,5.81,3,3.44,5.03,30,1
1,4.95,5.46,3,3.44,5.03,112,0
1,5.05,6.94,2,3.44,5.03,67,0
1,5.29,6.52,3,3.44,5.03,70,0
1,4.76,5.73,3,3.44,5.03,96,0
1,5.24,6.29,3,3.44,5.03,75,0
4,6.03,7.62,4,3.44,5.03,126,1
1,4.84,5.66,3,3.44,5.03,77,0
1,4.65,5.98,2,3.44,5.03,86,0
1,4.89,5.65,3,3.44,5.03,96,0
1,5.04,5.95,3,3.44,5.03,55,0
1,4.68,6.04,3,3.44,5.03,108,1
1,5.24,5.75,3,3.44,5.03,114,1
1,5.4,5.94,3,3.44,5.03,67,0
2,5.92,6.33,3,3.44,5.03,72,0
1,4.69,5.87,3,3.44,5.03,78,0
1,5.26,5.91,2,3.44,5.03,61,0
1,4.71,5.34,3,3.44,5.03,109,1
1,6.06,6.63,3,3.46,5.63,26,0
1,5.73,7.1,3,3.46,5.63,54,0
1,3.46,6.57,3,3.46,5.63,82,0
2,6.72,6.99,3,3.46,5.63,101,1
1,6.11,6.33,3,3.46,5.63,87,0
16,7.77,DNF,3,3.47,5.86,192,3
10,4.78,7.32,3,3.47,5.86,139,0
15,6.31,7.09,3,3.47,5.86,272,0
4,5.29,6.51,3,3.47,5.86,247,0
11,6.17,7.39,2,3.47,5.86,166,0
10,5.6,8.33,3,3.47,5.86,185,1
4,6.63,7.14,3,3.47,5.86,186,1
20,6.17,DNF,3,3.47,5.86,144,2
2,4.69,5.63,3,3.54,4.81,192,1
2,4.85,5.14,3,3.54,4.81,144,0
2,4.23,5.26,4,3.54,4.81,272,0
1,4.3,5.29,4,3.54,4.81,180,0
2,4.86,5.56,3,3.54,4.81,217,0
1,5.25,5.99,3,3.54,4.81,247,0
2,4.49,5.69,3,3.54,4.81,190,0
1,4.84,5.17,3,3.54,4.81,166,1
3,4.86,5.64,3,3.54,4.81,135,0
3,4.58,5.77,3,3.54,4.81,138,0
2,5.28,5.29,3,3.54,4.81,185,0
1,5.02,5.48,3,3.54,4.81,191,0
2,4.87,5.67,3,3.54,4.81,187,0
3,5.22,6.21,3,3.54,4.81,193,0
4,4.64,5.63,3,3.54,4.81,155,0
1,5.58,6.08,4,3.59,5.1,182,0
4,5.02,6.19,4,3.59,5.1,847,0
2,4.76,5.35,3,3.59,5.1,27,0
1,4.36,5.36,4,3.59,5.1,256,0
1,3.59,5.51,4,3.59,5.1,239,0
1,5.2,5.78,4,3.59,5.1,195,0
1,4.79,5.68,3,3.59,5.1,54,0
2,5.59,6.61,3,3.59,5.1,153,1
1,4.61,5.8,3,3.59,5.1,38,0
1,5.22,5.86,3,3.59,5.1,72,0
1,4.6,5.41,3,3.59,5.1,132,0
1,4.28,5.25,4,3.66,4.74,337,0
1,5.42,5.92,4,3.66,4.74,1136,0
1,4.64,4.94,4,3.66,4.74,847,0
1,3.92,4.9,3,3.66,4.74,27,0
1,4.79,5.29,4,3.66,4.74,128,0
1,4.88,5.61,3,3.66,4.74,56,0
1,3.79,4.74,3,3.66,4.74,98,0
1,4.28,5.36,3,3.66,4.74,72,0
1,5.11,5.57,4,3.66,4.74,183,0
1,4.14,5.15,3,3.66,4.74,188,0
1,4.5,5.22,4,3.66,4.74,126,0
1,4.88,5.77,3,3.66,4.74,188,0
1,5.05,5.51,3,3.66,4.74,67,0
1,5.34,5.81,4,3.66,4.74,382,0
1,5.32,5.53,3,3.66,4.74,64,0
1,5.26,5.8,4,3.66,4.74,181,0
1,6.33,7.09,3,3.74,6.27,33,0
6,6.51,7.38,4,3.74,6.27,287,1
1,6.17,7.72,2,3.74,6.27,55,0
1,7.01,7.43,3,3.74,6.27,38,2
2,7.12,8.23,3,3.74,6.27,29,0
1,6.17,7.97,3,3.74,6.27,43,0
2,6.51,7.69,3,3.74,6.27,62,0
1,5.19,7.21,2,3.74,6.27,42,0
1,5.99,7.05,3,3.74,6.27,19,1
1,5.57,6.71,2,3.74,6.27,16,0
1,5.9,6.74,3,3.74,6.27,68,1
1,6.54,7.27,3,3.74,6.27,39,0
1,6.63,7.39,3,3.74,6.27,55,0
1,6.4,7.1,3,3.74,6.27,22,0
1,5.85,7.5,3,3.74,6.27,46,0
1,6.52,7.26,3,3.74,6.27,46,1
1,5.81,6.65,3,3.74,6.27,39,0
1,6.66,7.24,3,3.74,6.27,76,0
1,7.01,7.74,3,3.74,6.27,60,0
2,5.92,7.27,3,3.79,5.58,103,0
2,5.78,6.65,3,3.79,5.58,117,0
1,3.79,6.71,3,3.79,5.58,90,0
41,6.13,8,3,3.79,5.58,847,2
8,4.84,6.82,3,3.79,5.58,27,0
7,4.97,7.13,4,3.79,5.58,359,2
1,4.67,5.63,2,3.79,5.58,56,0
1,4.24,6.41,3,3.79,5.58,135,0
2,6.57,7.29,3,3.79,5.58,65,2
3,6.4,7.01,3,3.79,5.58,152,0
2,5.73,6.74,3,3.79,5.58,91,0
1,5.39,6.71,3,3.79,5.58,80,0
1,5.75,6.95,3,3.79,5.58,91,0
1,4.31,6.16,3,3.79,5.58,94,0
1,5.57,6.22,3,3.79,5.58,136,0
3,6.68,7.25,3,3.79,5.58,125,2
1,4.96,6.05,2,3.79,5.58,107,0
1,5.86,6.12,3,3.79,5.58,66,0
1,5.39,6.46,4,3.86,5.99,183,0
2,6.05,6.59,4,3.86,5.99,182,0
9,5.26,6.65,4,3.86,5.99,847,0
12,5.02,6.78,2,3.86,5.99,27,0
1,6.79,7.41,3,3.86,5.99,89,1
1,5.94,6.74,3,3.86,5.99,60,0
2,5.82,8.26,4,3.86,5.99,132,0
1,5.76,6.83,3,3.86,5.99,70,0
1,6.32,6.85,3,3.86,5.99,103,1
2,6.34,7.5,3,3.86,5.99,54,1
2,5.62,6.86,4,3.86,5.99,177,0
2,5.73,7.1,4,3.86,5.99,104,0
1,6.54,7.37,3,3.86,5.99,34,0
3,6.08,7.45,4,3.86,5.99,184,0
1,6.7,7.23,3,3.86,5.99,62,0
1,5.71,6.22,3,3.86,5.99,95,0
2,6.17,7.15,4,3.86,5.99,117,0
1,5.92,6.85,3,3.86,5.99,59,0
1,5.96,6.67,4,3.86,5.99,139,0
1,5.91,6.92,3,3.86,5.99,124,1
1,3.86,5.29,3,3.86,5.09,139,0
3,4.42,5.38,4,3.86,5.09,272,0
4,5.15,5.89,3,3.86,5.09,217,0
1,4.84,5.66,3,3.86,5.09,190,0
2,5.12,5.53,3,3.86,5.09,135,0
2,4.56,5.41,3,3.86,5.09,138,0
2,4.74,5.54,3,3.86,5.09,281,0
3,4.86,5.85,3,3.86,5.09,187,0
2,4.79,5.31,3,3.86,5.09,155,0
1,5.22,6.57,2,3.88,5.72,37,0
6,6.66,7.7,4,3.88,5.72,324,0
4,7.41,7.81,4,3.88,5.72,265,1
1,7.84,8.3,2,3.88,5.72,44,1
1,6.5,7.45,2,3.88,5.72,20,0
1,6.33,7.16,3,3.88,5.72,86,0
2,6.98,8.11,2,3.88,5.72,29,0
6,6.08,7.17,4,3.88,5.72,382,1
4,7.11,7.45,3,3.88,5.72,64,0
66,4.46,8.63,3,3.89,5.9,847,0
6,7.12,7.3,4,3.89,5.9,256,0
1,5.66,6.62,2,3.89,5.9,83,1
2,6.09,7.02,3,3.89,5.9,115,1
1,5.04,6.61,3,3.89,5.9,140,2
2,5.9,6.73,3,3.89,5.9,90,1
1,5.87,6.53,3,3.89,5.9,112,0
3,4.42,5.51,3,3.95,5.16,144,0
6,5.17,6.09,4,3.95,5.16,272,0
2,4.98,5.71,4,3.95,5.16,180,0
4,5.38,5.8,3,3.95,5.16,190,1
1,4.44,5.25,3,3.95,5.16,138,1
3,5.37,6.01,3,3.95,5.16,191,0
3,5.18,5.56,3,3.95,5.16,155,0
1,4,5.38,4,4,4.84,287,0
4,4.72,5.56,4,4,4.84,272,0
1,5.42,5.54,3,4,4.84,217,0
1,4.09,5.74,3,4,4.84,186,1
3,5.36,7.83,3,4.02,6.55,65,0
3,7.29,8.47,3,4.02,6.55,117,0
2,6.16,7.34,3,4.02,6.55,84,0
3,5.56,7.66,2,4.02,6.55,88,0
3,6.91,7.55,3,4.02,6.55,107,0
2,5.41,7.11,3,4.02,6.55,114,0
4,7.4,8.39,3,4.02,6.55,124,1
4,6.51,8.39,3,4.02,6.55,155,0
4,7.27,8.21,3,4.02,6.55,98,0
9,6.14,8.5,3,4.02,6.55,170,0
3,4.02,7.94,3,4.02,6.55,173,0
2,5.4,6.51,4,4.03,5.49,217,0
18,5.56,7.27,3,4.03,5.49,847,1
11,6,6.66,2,4.03,5.49,27,2
1,4.48,6.05,3,4.03,5.49,140,0
2,5.65,6.33,4,4.03,5.49,256,0
2,5.72,6.53,4,4.03,5.49,239,0
1,5.11,6.1,3,4.03,5.49,99,0
2,6.06,6.56,3,4.03,5.49,66,0
1,4.96,6.11,3,4.03,5.49,119,0
1,5.55,6.78,3,4.03,5.49,115,0
1,5.49,6.13,3,4.03,5.49,114,0
3,5.88,6.7,3,4.03,5.49,153,0
1,5.59,6.34,3,4.03,5.49,90,0
1,5.21,6.26,2,4.03,5.49,38,0
1,5.95,6.38,3,4.03,5.49,150,0
5,7.75,7.87,4,4.03,5.49,144,0
2,6.54,7.95,3,4.03,6.93,109,0
1,7.35,7.64,3,4.03,6.93,102,0
11,7.24,8.86,4,4.03,6.93,181,0
1,5.83,6.51,3,4.05,6.08,68,0
30,6.78,7.65,3,4.05,6.08,847,0
26,6.64,8.68,1,4.05,6.08,27,1
1,5.73,6.42,4,4.05,6.08,198,0
2,6.07,6.35,3,4.05,6.08,79,0
2,6.54,7.22,4,4.05,6.08,195,0
1,4.7,6.57,3,4.05,6.08,45,0
2,6.01,6.57,3,4.05,6.08,131,0
1,5.18,6.62,3,4.05,6.08,77,0
2,5.97,6.58,3,4.05,6.08,82,0
3,6.23,6.8,3,4.05,6.08,200,0
1,4.8,6.6,3,4.05,6.08,61,1
1,5.83,6.37,3,4.05,6.08,100,0
1,5.88,6.54,3,4.05,6.08,62,0
1,5.76,6.56,3,4.05,6.08,90,0
1,6.29,7.09,3,4.05,6.08,36,0
2,6.47,6.62,3,4.05,6.08,96,0
2,5.64,6.86,3,4.05,5.81,66,0
18,5.58,7.61,4,4.05,5.81,1136,0
1,5.38,6.2,3,4.05,5.81,59,0
2,6.07,6.58,3,4.05,5.81,141,0
1,5.06,6.77,2,4.05,5.81,48,0
1,6.19,6.52,3,4.05,5.81,92,0
1,6.77,7.13,3,4.05,5.81,46,0
1,5.05,7.21,3,4.05,5.81,48,0
1,6.2,6.78,2,4.05,5.81,50,0
1,6.2,6.46,3,4.05,5.81,58,0
1,4.7,6.77,2,4.05,5.81,46,0
1,6.5,7.95,2,4.05,5.81,36,1
1,6.04,6.52,3,4.07,6.27,64,0
8,5.85,6.5,4,4.07,6.27,1136,0
1,5.64,6.71,3,4.07,6.27,105,0
2,6.29,6.79,3,4.07,6.27,82,0
1,5.23,6.58,3,4.07,6.27,40,0
1,6.3,7.29,3,4.07,6.27,99,1
1,6.34,6.57,3,4.07,6.27,50,0
1,5.06,6.33,3,4.07,6.27,103,0
1,6.06,6.99,3,4.07,6.27,25,0
2,5.78,7.56,3,4.07,6.27,76,0
1,6.11,7.19,3,4.07,6.27,36,0
2,5.81,7.28,3,4.07,6.27,59,0
1,4.07,6.27,3,4.07,6.27,32,1
2,5.55,7.04,3,4.07,6.27,58,1
9,7.99,8.83,3,4.08,7.96,109,0
8,7.48,8.78,3,4.08,7.96,112,0
6,7.82,8.96,3,4.08,7.96,113,0
58,7.59,8.36,3,4.08,7.96,847,0
2,7.75,8.35,3,4.08,7.96,98,0
13,8.12,8.41,4,4.08,7.96,239,0
15,7.13,9.29,3,4.08,7.96,154,0
2,6.97,8.16,3,4.08,7.96,35,0
8,7.05,8.98,3,4.08,7.96,88,0
7,7.92,9.09,3,4.08,7.96,95,1
3,7.78,8.4,3,4.08,7.96,52,0
2,7.73,8.68,2,4.08,7.96,25,1
10,7.69,8.97,3,4.08,7.96,186,1
5,4.08,8.97,3,4.08,7.96,25,0
20,7.79,10.14,2,4.08,7.96,168,0
5,6.85,8.24,3,4.08,7.96,200,0
19,8.62,10.2,2,4.08,7.96,138,0
8,8.46,10.07,3,4.08,7.96,46,0
