Last Round Average Time,Best Average Time,Last Round Single Time,Rank,Best Single Time,Name,Representation
6.6,5.42,5.13,8,4.11,Qixian Cao (曹岂娴),China
6.98,5.42,6.48,10,4.11,Qixian Cao (曹岂娴),China
6.29,5.42,4.94,4,4.11,Qixian Cao (曹岂娴),China
6.85,5.42,5.89,8,4.11,Qixian Cao (曹岂娴),China
5.71,5.42,4.88,2,4.11,Qixian Cao (曹岂娴),China
6.42,5.42,5.52,4,4.11,Qixian Cao (曹岂娴),China
6.21,5.42,5.45,4,4.11,Qixian Cao (曹岂娴),China
6.39,5.42,5.12,4,4.11,Qixian Cao (曹岂娴),China
6.54,5.42,5.62,7,4.11,Qixian Cao (曹岂娴),China
6.56,5.42,5.29,4,4.11,Qixian Cao (曹岂娴),China
6.85,5.42,6.09,5,4.11,Qixian Cao (曹岂娴),China
6.21,5.42,5.46,5,4.11,Qixian Cao (曹岂娴),China
6.28,5.42,6.05,3,4.11,Qixian Cao (曹岂娴),China
4.57,4.25,4.08,1,3.38,Yiheng Wang (王艺衡),China
4.85,4.25,4.09,1,3.38,Yiheng Wang (王艺衡),China
4.73,4.25,4.33,1,3.38,Yiheng Wang (王艺衡),China
4.88,4.25,4.54,1,3.38,Yiheng Wang (王艺衡),China
5.08,4.25,4.33,1,3.38,Yiheng Wang (王艺衡),China
5.04,4.25,4.33,1,3.38,Yiheng Wang (王艺衡),China
4.91,4.25,4.2,1,3.38,Yiheng Wang (王艺衡),China
4.79,4.25,4.19,1,3.38,Yiheng Wang (王艺衡),China
4.97,4.25,4.08,1,3.38,Yiheng Wang (王艺衡),China
4.91,4.25,4.0,1,3.38,Yiheng Wang (王艺衡),China
4.91,4.25,3.66,1,3.38,Yiheng Wang (王艺衡),China
5.05,4.25,4.31,1,3.38,Yiheng Wang (王艺衡),China
5.37,4.25,4.65,1,3.38,Yiheng Wang (王艺衡),China
5.94,4.25,5.12,2,3.38,Yiheng Wang (王艺衡),China
5.27,4.25,4.0,1,3.38,Yiheng Wang (王艺衡),China
5.25,4.25,4.49,1,3.38,Yiheng Wang (王艺衡),China
4.6,4.25,3.47,1,3.38,Yiheng Wang (王艺衡),China
5.06,4.25,4.07,1,3.38,Yiheng Wang (王艺衡),China
5.75,4.86,5.31,1,3.13,Max Park,United States
5.45,4.86,4.83,1,3.13,Max Park,United States
6.45,4.86,5.21,1,3.13,Max Park,United States
5.69,4.86,5.09,2,3.13,Max Park,United States
5.9,4.86,5.37,1,3.13,Max Park,United States
5.8,4.86,5.4,1,3.13,Max Park,United States
6.09,4.86,5.58,1,3.13,Max Park,United States
6.88,4.86,5.21,2,3.13,Max Park,United States
6.14,4.86,5.45,1,3.13,Max Park,United States
6.8,4.86,5.7,1,3.13,Max Park,United States
5.51,4.86,4.65,1,3.13,Max Park,United States
5.79,4.86,4.44,1,3.13,Max Park,United States
5.66,4.86,5.13,1,3.13,Max Park,United States
6.11,4.86,5.04,1,3.13,Max Park,United States
7.94,4.86,6.63,6,3.13,Max Park,United States
5.42,4.86,4.91,1,3.13,Max Park,United States
5.43,4.86,4.88,1,3.13,Max Park,United States
5.84,4.86,4.98,1,3.13,Max Park,United States
6.57,4.86,5.26,1,3.13,Max Park,United States
5.28,4.86,4.81,1,3.13,Max Park,United States
6.1,5.03,5.41,1,3.44,Luke Garrett,United States
6.61,5.03,4.83,1,3.44,Luke Garrett,United States
6.36,5.03,4.51,6,3.44,Luke Garrett,United States
6.5,5.03,5.47,7,3.44,Luke Garrett,United States
5.98,5.03,4.42,1,3.44,Luke Garrett,United States
6.03,5.03,5.6,2,3.44,Luke Garrett,United States
6.11,5.03,4.2,1,3.44,Luke Garrett,United States
5.85,5.03,5.15,1,3.44,Luke Garrett,United States
7.6,5.03,6.17,5,3.44,Luke Garrett,United States
5.68,5.03,5.33,1,3.44,Luke Garrett,United States
6.42,5.03,5.46,1,3.44,Luke Garrett,United States
6.22,5.03,4.62,1,3.44,Luke Garrett,United States
6.58,5.03,5.67,1,3.44,Luke Garrett,United States
6.37,5.03,4.76,1,3.44,Luke Garrett,United States
5.81,5.03,4.93,1,3.44,Luke Garrett,United States
5.46,5.03,4.95,1,3.44,Luke Garrett,United States
6.94,5.03,5.05,1,3.44,Luke Garrett,United States
6.52,5.03,5.29,1,3.44,Luke Garrett,United States
5.73,5.03,4.76,1,3.44,Luke Garrett,United States
6.29,5.03,5.24,1,3.44,Luke Garrett,United States
7.62,5.03,6.03,4,3.44,Luke Garrett,United States
5.66,5.03,4.84,1,3.44,Luke Garrett,United States
5.98,5.03,4.65,1,3.44,Luke Garrett,United States
5.65,5.03,4.89,1,3.44,Luke Garrett,United States
5.95,5.03,5.04,1,3.44,Luke Garrett,United States
6.04,5.03,4.68,1,3.44,Luke Garrett,United States
5.75,5.03,5.24,1,3.44,Luke Garrett,United States
5.94,5.03,5.4,1,3.44,Luke Garrett,United States
6.33,5.03,5.92,2,3.44,Luke Garrett,United States
5.87,5.03,4.69,1,3.44,Luke Garrett,United States
5.91,5.03,5.26,1,3.44,Luke Garrett,United States
5.34,5.03,4.71,1,3.44,Luke Garrett,United States
6.63,5.63,6.06,1,3.46,Aaron Huynh,United States
7.1,5.63,5.73,1,3.46,Aaron Huynh,United States
6.57,5.63,3.46,1,3.46,Aaron Huynh,United States
6.99,5.63,6.72,2,3.46,Aaron Huynh,United States
6.33,5.63,6.11,1,3.46,Aaron Huynh,United States
7.32,5.86,4.78,10,3.47,Yusheng Du (杜宇生),China
7.09,5.86,6.31,15,3.47,Yusheng Du (杜宇生),China
6.51,5.86,5.29,4,3.47,Yusheng Du (杜宇生),China
7.39,5.86,6.17,11,3.47,Yusheng Du (杜宇生),China
8.33,5.86,5.6,10,3.47,Yusheng Du (杜宇生),China
7.14,5.86,6.63,4,3.47,Yusheng Du (杜宇生),China
5.63,4.81,4.69,2,3.54,Xuanyi Geng (耿暄一),China
5.14,4.81,4.85,2,3.54,Xuanyi Geng (耿暄一),China
5.26,4.81,4.23,2,3.54,Xuanyi Geng (耿暄一),China
5.29,4.81,4.3,1,3.54,Xuanyi Geng (耿暄一),China
5.56,4.81,4.86,2,3.54,Xuanyi Geng (耿暄一),China
5.99,4.81,5.25,1,3.54,Xuanyi Geng (耿暄一),China
5.69,4.81,4.49,2,3.54,Xuanyi Geng (耿暄一),China
5.17,4.81,4.84,1,3.54,Xuanyi Geng (耿暄一),China
5.64,4.81,4.86,3,3.54,Xuanyi Geng (耿暄一),China
5.77,4.81,4.58,3,3.54,Xuanyi Geng (耿暄一),China
5.29,4.81,5.28,2,3.54,Xuanyi Geng (耿暄一),China
5.48,4.81,5.02,1,3.54,Xuanyi Geng (耿暄一),China
5.67,4.81,4.87,2,3.54,Xuanyi Geng (耿暄一),China
6.21,4.81,5.22,3,3.54,Xuanyi Geng (耿暄一),China
5.63,4.81,4.64,4,3.54,Xuanyi Geng (耿暄一),China
6.08,5.1,5.58,1,3.59,Matty Hiroto Inaba,United States
6.19,5.1,5.02,4,3.59,Matty Hiroto Inaba,United States
5.35,5.1,4.76,2,3.59,Matty Hiroto Inaba,United States
5.36,5.1,4.36,1,3.59,Matty Hiroto Inaba,United States
5.51,5.1,3.59,1,3.59,Matty Hiroto Inaba,United States
5.78,5.1,5.2,1,3.59,Matty Hiroto Inaba,United States
5.68,5.1,4.79,1,3.59,Matty Hiroto Inaba,United States
6.61,5.1,5.59,2,3.59,Matty Hiroto Inaba,United States
5.8,5.1,4.61,1,3.59,Matty Hiroto Inaba,United States
5.86,5.1,5.22,1,3.59,Matty Hiroto Inaba,United States
5.41,5.1,4.6,1,3.59,Matty Hiroto Inaba,United States
5.25,4.74,4.28,1,3.66,Tymon Kolasiński,Poland
5.92,4.74,5.42,1,3.66,Tymon Kolasiński,Poland
4.94,4.74,4.64,1,3.66,Tymon Kolasiński,Poland
4.9,4.74,3.92,1,3.66,Tymon Kolasiński,Poland
5.29,4.74,4.79,1,3.66,Tymon Kolasiński,Poland
5.61,4.74,4.88,1,3.66,Tymon Kolasiński,Poland
4.74,4.74,3.79,1,3.66,Tymon Kolasiński,Poland
5.36,4.74,4.28,1,3.66,Tymon Kolasiński,Poland
5.57,4.74,5.11,1,3.66,Tymon Kolasiński,Poland
5.15,4.74,4.14,1,3.66,Tymon Kolasiński,Poland
5.22,4.74,4.5,1,3.66,Tymon Kolasiński,Poland
5.77,4.74,4.88,1,3.66,Tymon Kolasiński,Poland
5.51,4.74,5.05,1,3.66,Tymon Kolasiński,Poland
5.81,4.74,5.34,1,3.66,Tymon Kolasiński,Poland
5.53,4.74,5.32,1,3.66,Tymon Kolasiński,Poland
5.8,4.74,5.26,1,3.66,Tymon Kolasiński,Poland
7.09,6.27,6.33,1,3.74,Claudio Matias Cancino Bruna,Chile
7.38,6.27,6.51,6,3.74,Claudio Matias Cancino Bruna,Chile
7.72,6.27,6.17,1,3.74,Claudio Matias Cancino Bruna,Chile
7.43,6.27,7.01,1,3.74,Claudio Matias Cancino Bruna,Chile
8.23,6.27,7.12,2,3.74,Claudio Matias Cancino Bruna,Chile
